,ds,ds,y,yhat,diff
41,2016-12-12,2016-12-12,19028.0,12346.271651516934,-6681.728348483066
42,2016-12-13,2016-12-13,16188.0,9385.13848354989,-6802.86151645011
43,2016-12-14,2016-12-14,14605.0,14241.899726812202,-363.10027318779794
44,2016-12-15,2016-12-15,10386.0,12411.166816947803,2025.1668169478035
45,2016-12-16,2016-12-16,9996.0,10146.966133836824,150.96613383682416
46,2016-12-17,2016-12-17,8895.0,10426.622630957667,1531.6226309576668
47,2016-12-18,2016-12-18,9740.0,9490.480306201434,-249.51969379856564
48,2016-12-19,2016-12-19,6714.0,9844.050802859047,3130.0508028590466
49,2016-12-20,2016-12-20,6437.0,9597.563156030477,3160.5631560304773
50,2016-12-21,2016-12-21,11046.0,11631.705860675975,585.7058606759747
51,2016-12-22,2016-12-22,10123.0,9247.996554807312,-875.0034451926876
52,2016-12-23,2016-12-23,9708.0,8878.221818488033,-829.778181511967
53,2016-12-24,2016-12-24,9732.0,8149.776682934586,-1582.2233170654144
54,2016-12-25,2016-12-25,10208.0,10210.258578326679,2.2585783266786166
55,2016-12-26,2016-12-26,7752.0,6687.134943926636,-1064.865056073364
56,2016-12-27,2016-12-27,6404.0,5877.386782665455,-526.613217334545
57,2016-12-28,2016-12-28,6878.0,8265.943064810996,1387.9430648109956
58,2016-12-29,2016-12-29,6895.0,6518.705609511357,-376.29439048864333
59,2016-12-30,2016-12-30,10268.0,7961.23632326428,-2306.76367673572
60,2016-12-31,2016-12-31,10906.0,9036.163305298298,-1869.836694701702
61,2017-01-01,2017-01-01,12350.0,12349.887887138575,-0.11211286142497556
62,2017-01-02,2017-01-02,10153.0,11261.760669567426,1108.7606695674258
63,2017-01-03,2017-01-03,10139.0,11576.483697945167,1437.4836979451666
64,2017-01-04,2017-01-04,14307.0,15298.245350349105,991.2453503491051
65,2017-01-05,2017-01-05,13542.0,13869.063790025613,327.06379002561334
66,2017-01-06,2017-01-06,12977.0,17126.497311389,4149.497311389001
67,2017-01-07,2017-01-07,14023.0,18255.140181417948,4232.140181417948
68,2017-01-08,2017-01-08,13548.0,17422.212078977827,3874.2120789778273
69,2017-01-09,2017-01-09,26247.0,17631.458050032405,-8615.541949967595
70,2017-01-10,2017-01-10,23460.0,15809.572803048097,-7650.427196951903
71,2017-01-11,2017-01-11,24298.0,18820.425098912918,-5477.574901087082
72,2017-01-12,2017-01-12,12507.0,14712.140986497785,2205.140986497785
73,2017-01-13,2017-01-13,11945.0,13441.448966445978,1496.448966445978
74,2017-01-14,2017-01-14,10606.0,13949.791251200038,3343.7912512000385
75,2017-01-15,2017-01-15,8394.0,10802.169684258984,2408.1696842589845
76,2017-01-16,2017-01-16,5751.0,9436.69053006178,3685.69053006178
77,2017-01-17,2017-01-17,6197.0,8078.719028604552,1881.7190286045516
78,2017-01-18,2017-01-18,12702.0,10713.674139489334,-1988.3258605106657
79,2017-01-19,2017-01-19,10867.0,10479.495537895,-387.50446210500013
80,2017-01-20,2017-01-20,11610.0,10451.9193789594,-1158.0806210406008
81,2017-01-21,2017-01-21,10613.0,9462.808509302635,-1150.1914906973652
82,2017-01-22,2017-01-22,11232.0,9565.782419235074,-1666.2175807649255
83,2017-01-23,2017-01-23,9546.0,9862.275382569089,316.27538256908883
84,2017-01-24,2017-01-24,8487.0,8689.507886016683,202.5078860166832
85,2017-01-25,2017-01-25,12653.0,11967.637438174965,-685.3625618250353
