,ds,ds,y,yhat,Local_Venda,diff
67,2017-01-07,2017-01-07,3491.0,4516.6612626267515,Mindscape,1025.6612626267515
68,2017-01-08,2017-01-08,3074.0,4239.399211830543,Mindscape,1165.3992118305432
69,2017-01-09,2017-01-09,6713.0,4285.65330062298,Mindscape,-2427.34669937702
70,2017-01-10,2017-01-10,5604.0,3739.3172870636236,Mindscape,-1864.6827129363764
71,2017-01-11,2017-01-11,5795.0,4422.463060945616,Mindscape,-1372.5369390543838
72,2017-01-12,2017-01-12,2870.0,3335.4377108897643,Mindscape,465.4377108897643
73,2017-01-13,2017-01-13,2715.0,3159.273064458425,Mindscape,444.27306445842487
74,2017-01-14,2017-01-14,2473.0,3494.4414410169525,Mindscape,1021.4414410169525
75,2017-01-15,2017-01-15,1938.0,2512.1321304893277,Mindscape,574.1321304893277
76,2017-01-16,2017-01-16,1365.0,2296.284824965432,Mindscape,931.2848249654321
77,2017-01-17,2017-01-17,1503.0,2042.9562219619747,Mindscape,539.9562219619747
78,2017-01-18,2017-01-18,2937.0,2489.726404292973,Mindscape,-447.2735957070272
79,2017-01-19,2017-01-19,2604.0,2312.3113897199573,Mindscape,-291.68861028004267
80,2017-01-20,2017-01-20,2826.0,2364.837549820812,Mindscape,-461.162450179188
81,2017-01-21,2017-01-21,2553.0,2136.4541191634353,Mindscape,-416.5458808365647
82,2017-01-22,2017-01-22,2400.0,1967.3562177759418,Mindscape,-432.6437822240582
83,2017-01-23,2017-01-23,1797.0,2152.975487329656,Mindscape,355.97548732965606
84,2017-01-24,2017-01-24,1717.0,1955.384707024788,Mindscape,238.38470702478799
85,2017-01-25,2017-01-25,2899.0,2724.8955567508942,Mindscape,-174.10444324910577
86,2017-01-26,2017-01-26,2649.0,2479.622792427759,Mindscape,-169.37720757224088
87,2017-01-27,2017-01-27,2868.0,2503.406111283419,Mindscape,-364.5938887165812
88,2017-01-28,2017-01-28,2593.0,2242.181613505536,Mindscape,-350.818386494464
89,2017-01-29,2017-01-29,2384.0,2248.079243207277,Mindscape,-135.92075679272284
90,2017-01-30,2017-01-30,1641.0,2574.9711057268173,Mindscape,933.9711057268173
91,2017-01-31,2017-01-31,1668.0,2436.5684044120876,Mindscape,768.5684044120876
92,2017-02-01,2017-02-01,2724.0,3374.020158351127,Mindscape,650.0201583511271
93,2017-02-02,2017-02-02,2558.0,3022.9404850999367,Mindscape,464.9404850999367
94,2017-02-03,2017-02-03,2545.0,3120.036183210792,Mindscape,575.0361832107919
95,2017-02-04,2017-02-04,2773.0,2753.237786806389,Mindscape,-19.762213193610933
96,2017-02-05,2017-02-05,3012.0,2897.0965196029315,Mindscape,-114.9034803970685
97,2017-02-06,2017-02-06,6059.0,3806.7775065053584,Mindscape,-2252.2224934946416
98,2017-02-07,2017-02-07,6556.0,3413.1776284209473,Mindscape,-3142.8223715790527
99,2017-02-08,2017-02-08,4463.0,4041.255477632116,Mindscape,-421.7445223678842
100,2017-02-09,2017-02-09,2555.0,3422.3310437723712,Mindscape,867.3310437723712
101,2017-02-10,2017-02-10,2817.0,3346.4888898397894,Mindscape,529.4888898397894
102,2017-02-11,2017-02-11,2370.0,3067.3610362411946,Mindscape,697.3610362411946
103,2017-02-12,2017-02-12,1314.0,2365.0908179798002,Mindscape,1051.0908179798002
104,2017-02-13,2017-02-13,1377.0,3004.537712414659,Mindscape,1627.537712414659
105,2017-02-14,2017-02-14,1330.0,2594.6580316702916,Mindscape,1264.6580316702916
106,2017-02-15,2017-02-15,2858.0,2690.152024805759,Mindscape,-167.84797519424092
107,2017-02-16,2017-02-16,2982.0,2537.9272315973876,Mindscape,-444.0727684026124
108,2017-02-17,2017-02-17,2914.0,2478.459100032711,Mindscape,-435.5408999672891
109,2017-02-18,2017-02-18,3139.0,2504.672961961614,Mindscape,-634.327038038386
110,2017-02-19,2017-02-19,3756.0,2734.153271230929,Mindscape,-1021.846728769071
111,2017-02-20,2017-02-20,2923.0,2764.732507733161,Mindscape,-158.26749226683887
112,2017-02-21,2017-02-21,2781.0,2368.513538887142,Mindscape,-412.4864611128578
113,2017-02-22,2017-02-22,3472.0,3172.2336113406677,Mindscape,-299.7663886593323
114,2017-02-23,2017-02-23,2728.0,2846.993449254761,Mindscape,118.99344925476089
115,2017-02-24,2017-02-24,2753.0,2862.052816639694,Mindscape,109.0528166396939
116,2017-02-25,2017-02-25,2760.0,2811.7266151749686,Mindscape,51.72661517496863
117,2017-02-26,2017-02-26,2475.0,2755.651423661657,Mindscape,280.6514236616572
118,2017-02-27,2017-02-27,1884.0,2592.314144641852,Mindscape,708.3141446418522
119,2017-02-28,2017-02-28,1623.0,2075.3395288542483,Mindscape,452.33952885424833
120,2017-03-01,2017-03-01,2483.0,2976.9427660064307,Mindscape,493.9427660064307
121,2017-03-02,2017-03-02,3036.0,2578.5744547149416,Mindscape,-457.42554528505843
122,2017-03-03,2017-03-03,2920.0,2677.118180787762,Mindscape,-242.88181921223804
123,2017-03-04,2017-03-04,2965.0,2588.8777104726255,Mindscape,-376.1222895273745
124,2017-03-05,2017-03-05,2827.0,2449.3217834085353,Mindscape,-377.67821659146466
125,2017-03-06,2017-03-06,1890.0,2341.68927748388,Mindscape,451.6892774838798
126,2017-03-07,2017-03-07,1895.0,1711.8558327986643,Mindscape,-183.14416720133568
127,2017-03-08,2017-03-08,3281.0,3198.484318967344,Mindscape,-82.51568103265618
