,ds,ds,y,yhat,Local_Venda,diff
27,2016-11-28,2016-11-28,1951.0,1891.6866654150301,Vast,-59.31333458496988
28,2016-11-29,2016-11-29,2305.0,1995.305658792867,Vast,-309.694341207133
29,2016-11-30,2016-11-30,3562.0,3450.03131654878,Vast,-111.96868345121993
30,2016-12-01,2016-12-01,3571.0,3037.3171371507483,Vast,-533.6828628492517
31,2016-12-02,2016-12-02,3311.0,2985.746020565478,Vast,-325.2539794345221
32,2016-12-03,2016-12-03,2979.0,2946.936075825629,Vast,-32.063924174371095
33,2016-12-04,2016-12-04,3070.0,2862.3329219166167,Vast,-207.66707808338333
34,2016-12-05,2016-12-05,1852.0,2152.325048557429,Vast,300.325048557429
35,2016-12-06,2016-12-06,1932.0,2416.277122352774,Vast,484.27712235277386
36,2016-12-07,2016-12-07,3597.0,4257.966365486896,Vast,660.9663654868964
37,2016-12-08,2016-12-08,3571.0,3699.866772377119,Vast,128.8667723771191
38,2016-12-09,2016-12-09,3258.0,3728.8329008903165,Vast,470.8329008903165
39,2016-12-10,2016-12-10,3055.0,3757.960471254797,Vast,702.9604712547971
40,2016-12-11,2016-12-11,3145.0,3693.542688971652,Vast,548.5426889716518
41,2016-12-12,2016-12-12,4118.0,3032.8853922766616,Vast,-1085.1146077233384
42,2016-12-13,2016-12-13,4511.0,2552.659016881623,Vast,-1958.3409831183772
43,2016-12-14,2016-12-14,4454.0,4114.970625402044,Vast,-339.0293745979561
44,2016-12-15,2016-12-15,3088.0,3471.2755151840433,Vast,383.27551518404334
45,2016-12-16,2016-12-16,3010.0,3020.1917219860657,Vast,10.191721986065659
46,2016-12-17,2016-12-17,2711.0,3064.957830568949,Vast,353.9578305689488
47,2016-12-18,2016-12-18,2960.0,2875.388036676203,Vast,-84.61196332379723
48,2016-12-19,2016-12-19,1988.0,2674.107468583984,Vast,686.107468583984
49,2016-12-20,2016-12-20,2035.0,2738.4928330661637,Vast,703.4928330661637
50,2016-12-21,2016-12-21,3442.0,3641.531543258075,Vast,199.5315432580751
51,2016-12-22,2016-12-22,3113.0,2946.393046826706,Vast,-166.6069531732942
52,2016-12-23,2016-12-23,2896.0,2708.753276968815,Vast,-187.24672303118496
53,2016-12-24,2016-12-24,3048.0,2424.4451962761877,Vast,-623.5548037238123
54,2016-12-25,2016-12-25,3161.0,3161.059734409067,Vast,0.05973440906700489
55,2016-12-26,2016-12-26,2014.0,1654.0440316555143,Vast,-359.95596834448565
56,2016-12-27,2016-12-27,1852.0,1702.870499422903,Vast,-149.1295005770969
57,2016-12-28,2016-12-28,1994.0,2643.365236994787,Vast,649.3652369947872
58,2016-12-29,2016-12-29,2063.0,2113.931378400039,Vast,50.93137840003919
59,2016-12-30,2016-12-30,3055.0,2487.841708859907,Vast,-567.1582911400928
60,2016-12-31,2016-12-31,3439.0,2806.9210891612215,Vast,-632.0789108387785
61,2017-01-01,2017-01-01,3660.0,3660.15746173086,Vast,0.15746173086017734
62,2017-01-02,2017-01-02,2697.0,2929.550658312537,Vast,232.55065831253705
63,2017-01-03,2017-01-03,2857.0,3251.0870733288266,Vast,394.0870733288266
64,2017-01-04,2017-01-04,4332.0,4579.742327371926,Vast,247.74232737192597
65,2017-01-05,2017-01-05,3913.0,4165.2031898604655,Vast,252.2031898604655
66,2017-01-06,2017-01-06,3930.0,4948.975953187858,Vast,1018.9759531878581
67,2017-01-07,2017-01-07,4315.0,5267.924447103582,Vast,952.9244471035818
68,2017-01-08,2017-01-08,3953.0,5160.49329920537,Vast,1207.49329920537
69,2017-01-09,2017-01-09,7379.0,4849.23166424027,Vast,-2529.76833575973
70,2017-01-10,2017-01-10,6768.0,4671.627059009059,Vast,-2096.372940990941
71,2017-01-11,2017-01-11,6995.0,5658.248397218937,Vast,-1336.7516027810634
72,2017-01-12,2017-01-12,3614.0,4354.030104825765,Vast,740.0301048257652
73,2017-01-13,2017-01-13,3432.0,3956.8717099376086,Vast,524.8717099376086
74,2017-01-14,2017-01-14,3017.0,3883.091564124488,Vast,866.0915641244878
75,2017-01-15,2017-01-15,2353.0,3082.4057538607167,Vast,729.4057538607167
76,2017-01-16,2017-01-16,1512.0,2365.227249259291,Vast,853.227249259291
77,2017-01-17,2017-01-17,1706.0,2173.601291742018,Vast,467.601291742018
78,2017-01-18,2017-01-18,3966.0,3303.722719124269,Vast,-662.2772808757309
79,2017-01-19,2017-01-19,3101.0,3056.528531912212,Vast,-44.4714680877878
80,2017-01-20,2017-01-20,3407.0,2905.4671925264574,Vast,-501.53280747354256
81,2017-01-21,2017-01-21,3074.0,2720.9036641674547,Vast,-353.09633583254526
82,2017-01-22,2017-01-22,3181.0,2709.8726504227143,Vast,-471.1273495772857
83,2017-01-23,2017-01-23,1985.0,2327.4506461903284,Vast,342.45064619032837
84,2017-01-24,2017-01-24,1983.0,2267.881172561827,Vast,284.88117256182704
85,2017-01-25,2017-01-25,3681.0,3534.9254624535856,Vast,-146.07453754641438
86,2017-01-26,2017-01-26,3508.0,3293.785261187486,Vast,-214.21473881251404
87,2017-01-27,2017-01-27,3659.0,3236.855945836811,Vast,-422.14405416318914
